especie,tier,perfil,modelo_generador,stratum,score_compuesto,M1_precision_geografica,M3_relevancia_respuesta,M5_profundidad_analitica,M2_precision_altitudinal,M4_variable_climatica,taxonomy_valid,D3_elevation_plausibility,disagree_flag,modelo_juez_A,modelo_juez_B
Chamaedorea deckeriana,T0,botanico,anthropic/claude/sonnet/4/5,C,0.8889,2.5,3.0,2.5,N/A,N/A,True,2,False,google/gemini-2.0-flash-001,openai/gpt-4o-mini
Chamaedorea deckeriana,T0,botanico,openai/gpt/4o,C,0.3333,0.5,1.5,1.0,N/A,N/A,True,0,True,google/gemini-2.0-flash-001,llama-3.3-70b-versatile
Chamaedorea deckeriana,T1,botanico,anthropic/claude/sonnet/4/5,C,0.4444,0.5,1.5,2.0,N/A,N/A,True,0,False,google/gemini-2.0-flash-001,openai/gpt-4o-mini
Chamaedorea deckeriana,T1,botanico,openai/gpt/4o,C,0.3889,1.5,1.5,0.5,N/A,N/A,True,0,False,google/gemini-2.0-flash-001,llama-3.3-70b-versatile
Chamaedorea deckeriana,T3,botanico,anthropic/claude/sonnet/4/5,C,0.8077,1.5,3.0,3.0,1.5,1.5,True,1,False,google/gemini-2.0-flash-001,openai/gpt-4o-mini
Chamaedorea deckeriana,T3,botanico,openai/gpt/4o,C,0.8333,2.5,3.0,2.0,N/A,N/A,True,0,True,google/gemini-2.0-flash-001,llama-3.3-70b-versatile
Ichnanthus pallens,T0,botanico,anthropic/claude/sonnet/4/5,C,0.8333,2.0,3.0,2.5,N/A,N/A,True,1,False,google/gemini-2.0-flash-001,openai/gpt-4o-mini
Ichnanthus pallens,T0,botanico,openai/gpt/4o,C,0.6111,1.5,2.5,1.5,N/A,N/A,True,0,False,google/gemini-2.0-flash-001,llama-3.3-70b-versatile
Ichnanthus pallens,T1,botanico,anthropic/claude/sonnet/4/5,C,0.3333,0.5,1.5,1.0,N/A,N/A,True,0,True,google/gemini-2.0-flash-001,openai/gpt-4o-mini
Ichnanthus pallens,T1,botanico,openai/gpt/4o,C,0.1111,0.5,0.0,0.5,N/A,N/A,True,0,False,google/gemini-2.0-flash-001,llama-3.3-70b-versatile
Ichnanthus pallens,T3,botanico,anthropic/claude/sonnet/4/5,C,0.9231,3.0,3.0,2.5,2.0,1.5,True,2,False,google/gemini-2.0-flash-001,openai/gpt-4o-mini
Ichnanthus pallens,T3,botanico,openai/gpt/4o,C,0.6111,2.0,2.0,1.5,N/A,N/A,True,2,False,google/gemini-2.0-flash-001,llama-3.3-70b-versatile
Digitaria setigera,T0,botanico,anthropic/claude/sonnet/4/5,C,0.8333,2.5,2.5,2.5,N/A,N/A,True,2,False,google/gemini-2.0-flash-001,openai/gpt-4o-mini
Digitaria setigera,T0,botanico,openai/gpt/4o,C,0.7222,2.0,2.5,2.0,N/A,N/A,True,0,True,google/gemini-2.0-flash-001,llama-3.3-70b-versatile
Digitaria setigera,T1,botanico,anthropic/claude/sonnet/4/5,C,0.6667,1.0,2.5,2.5,N/A,N/A,True,0,False,google/gemini-2.0-flash-001,openai/gpt-4o-mini
Digitaria setigera,T1,botanico,openai/gpt/4o,C,0.2222,0.5,1.5,0.0,N/A,N/A,True,0,True,google/gemini-2.0-flash-001,llama-3.3-70b-versatile
Digitaria setigera,T3,botanico,anthropic/claude/sonnet/4/5,C,0.6538,1.5,3.0,2.0,1.0,1.0,True,1,False,google/gemini-2.0-flash-001,openai/gpt-4o-mini
Digitaria setigera,T3,botanico,openai/gpt/4o,C,0.7222,1.5,2.5,2.5,N/A,N/A,True,0,False,google/gemini-2.0-flash-001,llama-3.3-70b-versatile
Trophis mexicana,T0,botanico,anthropic/claude/sonnet/4/5,A,0.6667,1.5,2.5,2.0,N/A,N/A,True,1,True,google/gemini-2.0-flash-001,openai/gpt-4o-mini
Trophis mexicana,T0,botanico,openai/gpt/4o,A,0.7222,2.0,2.5,2.0,N/A,N/A,True,0,True,google/gemini-2.0-flash-001,llama-3.3-70b-versatile
Trophis mexicana,T1,botanico,anthropic/claude/sonnet/4/5,A,0.6111,1.0,3.0,1.5,N/A,N/A,True,0,True,google/gemini-2.0-flash-001,openai/gpt-4o-mini
Trophis mexicana,T1,botanico,openai/gpt/4o,A,0.7778,2.0,3.0,2.0,N/A,N/A,True,0,False,google/gemini-2.0-flash-001,llama-3.3-70b-versatile
Trophis mexicana,T3,botanico,anthropic/claude/sonnet/4/5,A,0.9231,2.0,3.0,3.0,2.0,2.0,True,2,False,google/gemini-2.0-flash-001,openai/gpt-4o-mini
Trophis mexicana,T3,botanico,openai/gpt/4o,A,0.6923,3.0,3.0,2.0,0.0,1.0,True,0,False,google/gemini-2.0-flash-001,llama-3.3-70b-versatile
